example_id                                                           | status | run_time        |
./spec/cli/server_spec.rb[1:3:3]                                     | passed | 0.00382 seconds |
./spec/cli/server_spec.rb[1:3:4]                                     | passed | 0.00504 seconds |
./spec/cli/server_spec.rb[1:3:5]                                     | passed | 0.00339 seconds |
./spec/cli/server_spec.rb[1:3:6]                                     | passed | 0.00321 seconds |
./spec/cli/server_spec.rb[1:3:7]                                     | passed | 0.05017 seconds |
./spec/cli/server_spec.rb[1:3:8]                                     | passed | 0.00394 seconds |
./spec/cli/server_spec.rb[1:3:9]                                     | passed | 0.00255 seconds |
./spec/cli/server_spec.rb[1:3:10]                                    | passed | 0.00209 seconds |
./spec/cli/server_spec.rb[1:3:11]                                    | passed | 0.00192 seconds |
./spec/cli/server_spec.rb[1:3:12]                                    | passed | 0.00057 seconds |
./spec/cli/server_spec.rb[1:3:13]                                    | passed | 0.00064 seconds |
./spec/cli/server_spec.rb[1:3:14]                                    | passed | 0.00307 seconds |
./spec/cli/server_spec.rb[1:3:15]                                    | passed | 0.00406 seconds |
./spec/cli/server_spec.rb[1:3:16]                                    | passed | 0.00691 seconds |
./spec/cli/server_spec.rb[1:3:17]                                    | passed | 0.00225 seconds |
./spec/cli/server_spec.rb[1:3:18]                                    | passed | 0.00205 seconds |
./spec/cli/server_spec.rb[1:3:19]                                    | passed | 0.0019 seconds  |
./spec/cli/server_spec.rb[1:3:20]                                    | passed | 0.00875 seconds |
./spec/cli/stats_spec.rb[1:1]                                        | passed | 0.01979 seconds |
./spec/cli/stats_spec.rb[1:2]                                        | passed | 0.02573 seconds |
./spec/cli/stats_spec.rb[1:3]                                        | passed | 0.0181 seconds  |
./spec/cli/stats_spec.rb[1:4]                                        | passed | 0.01821 seconds |
./spec/cli/stats_spec.rb[1:5]                                        | passed | 0.01824 seconds |
./spec/cli/yardoc_spec.rb[1:1:1]                                     | passed | 0.01432 seconds |
./spec/cli/yardoc_spec.rb[1:1:2]                                     | passed | 0.01603 seconds |
./spec/cli/yardoc_spec.rb[1:1:3]                                     | passed | 0.01627 seconds |
./spec/cli/yardoc_spec.rb[1:1:4]                                     | passed | 0.01911 seconds |
./spec/cli/yardoc_spec.rb[1:1:5]                                     | passed | 0.01487 seconds |
./spec/cli/yardoc_spec.rb[1:1:6]                                     | passed | 0.01417 seconds |
./spec/cli/yardoc_spec.rb[1:1:7]                                     | passed | 0.01456 seconds |
./spec/cli/yardoc_spec.rb[1:1:8]                                     | passed | 0.01475 seconds |
./spec/cli/yardoc_spec.rb[1:1:9]                                     | passed | 0.01455 seconds |
./spec/cli/yardoc_spec.rb[1:1:10]                                    | passed | 0.01347 seconds |
./spec/cli/yardoc_spec.rb[1:1:11]                                    | passed | 0.016 seconds   |
./spec/cli/yardoc_spec.rb[1:1:12]                                    | passed | 0.01975 seconds |
./spec/cli/yardoc_spec.rb[1:1:13]                                    | passed | 0.01394 seconds |
./spec/cli/yardoc_spec.rb[1:1:14]                                    | passed | 0.02303 seconds |
./spec/cli/yardoc_spec.rb[1:1:15]                                    | passed | 0.01465 seconds |
./spec/cli/yardoc_spec.rb[1:2:1]                                     | passed | 0.00628 seconds |
./spec/cli/yardoc_spec.rb[1:2:2]                                     | passed | 0.00623 seconds |
./spec/cli/yardoc_spec.rb[1:2:3]                                     | passed | 0.00592 seconds |
./spec/cli/yardoc_spec.rb[1:2:4]                                     | passed | 0.00649 seconds |
./spec/cli/yardoc_spec.rb[1:2:5]                                     | passed | 0.00654 seconds |
./spec/cli/yardoc_spec.rb[1:2:6]                                     | passed | 0.02061 seconds |
./spec/cli/yardoc_spec.rb[1:2:7]                                     | passed | 0.01265 seconds |
./spec/cli/yardoc_spec.rb[1:2:8]                                     | passed | 0.02011 seconds |
./spec/cli/yardoc_spec.rb[1:2:9]                                     | passed | 0.01163 seconds |
./spec/cli/yardoc_spec.rb[1:2:10]                                    | passed | 0.00748 seconds |
./spec/cli/yardoc_spec.rb[1:2:11]                                    | passed | 0.00734 seconds |
./spec/cli/yardoc_spec.rb[1:2:12]                                    | passed | 0.00644 seconds |
./spec/cli/yardoc_spec.rb[1:2:13]                                    | passed | 0.0062 seconds  |
./spec/cli/yardoc_spec.rb[1:2:14]                                    | passed | 0.00785 seconds |
./spec/cli/yardoc_spec.rb[1:2:15]                                    | passed | 0.0062 seconds  |
./spec/cli/yardoc_spec.rb[1:2:16]                                    | passed | 0.00695 seconds |
./spec/cli/yardoc_spec.rb[1:2:17]                                    | passed | 0.00629 seconds |
./spec/cli/yardoc_spec.rb[1:3:1]                                     | passed | 0.00567 seconds |
./spec/cli/yardoc_spec.rb[1:3:2]                                     | passed | 0.01056 seconds |
./spec/cli/yardoc_spec.rb[1:3:3]                                     | passed | 0.00674 seconds |
./spec/cli/yardoc_spec.rb[1:3:4]                                     | passed | 0.01104 seconds |
./spec/cli/yardoc_spec.rb[1:3:5]                                     | passed | 0.0079 seconds  |
./spec/cli/yardoc_spec.rb[1:3:6]                                     | passed | 0.0116 seconds  |
./spec/cli/yardoc_spec.rb[1:3:7]                                     | passed | 0.00666 seconds |
./spec/cli/yardoc_spec.rb[1:3:8]                                     | passed | 0.00622 seconds |
./spec/cli/yardoc_spec.rb[1:3:9]                                     | passed | 0.00572 seconds |
./spec/cli/yardoc_spec.rb[1:3:10]                                    | passed | 0.00964 seconds |
./spec/cli/yardoc_spec.rb[1:3:11]                                    | passed | 0.00686 seconds |
./spec/cli/yardoc_spec.rb[1:3:12]                                    | passed | 0.00693 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:1]                                  | passed | 0.00857 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:2]                                  | passed | 0.01022 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:3]                                  | passed | 0.02917 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:4]                                  | passed | 0.00897 seconds |
./spec/cli/yardoc_spec.rb[1:3:13:5]                                  | passed | 0.01733 seconds |
./spec/cli/yardoc_spec.rb[1:3:14:1]                                  | passed | 0.00694 seconds |
./spec/cli/yardoc_spec.rb[1:3:15:1]                                  | passed | 0.0071 seconds  |
./spec/cli/yardoc_spec.rb[1:4:1]                                     | passed | 0.01525 seconds |
./spec/cli/yardoc_spec.rb[1:4:2]                                     | passed | 0.00944 seconds |
./spec/cli/yardoc_spec.rb[1:4:3]                                     | passed | 0.01344 seconds |
./spec/cli/yardoc_spec.rb[1:4:4]                                     | passed | 0.00837 seconds |
./spec/cli/yardoc_spec.rb[1:4:5]                                     | passed | 0.01584 seconds |
./spec/cli/yardoc_spec.rb[1:5:1]                                     | passed | 0.00941 seconds |
./spec/cli/yardoc_spec.rb[1:5:2]                                     | passed | 0.00852 seconds |
./spec/cli/yardoc_spec.rb[1:6:1]                                     | passed | 0.00746 seconds |
./spec/cli/yardoc_spec.rb[1:6:2]                                     | passed | 0.00662 seconds |
./spec/cli/yardoc_spec.rb[1:6:3]                                     | passed | 0.00716 seconds |
./spec/cli/yardoc_spec.rb[1:6:4]                                     | passed | 0.00936 seconds |
./spec/cli/yardoc_spec.rb[1:6:5]                                     | passed | 0.00807 seconds |
./spec/cli/yardoc_spec.rb[1:6:6]                                     | passed | 0.00794 seconds |
./spec/cli/yardoc_spec.rb[1:7:1]                                     | passed | 0.01103 seconds |
./spec/cli/yardoc_spec.rb[1:7:2]                                     | passed | 0.01562 seconds |
./spec/cli/yardoc_spec.rb[1:7:3]                                     | passed | 0.01024 seconds |
./spec/cli/yardoc_spec.rb[1:7:4]                                     | passed | 0.01418 seconds |
./spec/cli/yardoc_spec.rb[1:8:1]                                     | passed | 0.00682 seconds |
./spec/cli/yardoc_spec.rb[1:8:2]                                     | passed | 0.00988 seconds |
./spec/cli/yardoc_spec.rb[1:8:3]                                     | passed | 0.01288 seconds |
./spec/cli/yardoc_spec.rb[1:8:4]                                     | passed | 0.0068 seconds  |
./spec/cli/yardoc_spec.rb[1:9:1]                                     | passed | 0.00541 seconds |
./spec/cli/yardoc_spec.rb[1:9:2]                                     | passed | 0.0053 seconds  |
./spec/cli/yardoc_spec.rb[1:9:3]                                     | passed | 0.00461 seconds |
./spec/cli/yardoc_spec.rb[1:9:4]                                     | passed | 0.00718 seconds |
./spec/cli/yardoc_spec.rb[1:9:5]                                     | passed | 0.0063 seconds  |
./spec/cli/yardoc_spec.rb[1:9:6]                                     | passed | 0.00708 seconds |
./spec/cli/yardoc_spec.rb[1:9:7]                                     | passed | 0.00705 seconds |
./spec/cli/yardoc_spec.rb[1:9:8]                                     | passed | 0.00492 seconds |
./spec/cli/yardoc_spec.rb[1:9:9]                                     | passed | 0.0062 seconds  |
